Original,Simplified,Grammar,Meaning
"Val Venis defeated Rikishi in a Steel cage match to retain the WWF Intercontinental Championship ( 14:10 ) Venis pinned Rikishi after Tazz hit Rikishi with a TV camera .
","Val Venis defeated Kristal in a Steel cage match to retain the WWF Intercontinental Championship ( 14:10 ) Venis pinned Aku after Tazz hit capsized with a TV camera .
",8.8,6.2
"This closely resembles the Unix philosophy of having multiple programs each doing one thing well and working together over universal interfaces .
","This closely resembles the Botanical philosophy of having multiple programs each doing one thing well and working together over universal interfaces .
",8.8,5.8
"He came from a musical family ; his mother , LaRue , was an administrative assistant and singer , and his father , Keith Brion , was a band director at Yale .
","He came from a musical family ; his mother , LaRue , was an administrative assistant and singer , and his father , Keith Aku , was a band director at Yale .
",9.8,7.6
"The largest populations of Mennonites are in Canada , Democratic Republic of Congo and the United States , but Mennonites can also be found in tight-knit communities in at least 51 countries on six continents or scattered amongst the populace of those countries .
","The largest populations of Mennonites are in Canada , Democratic Republic of Congo and the United States , but Mennonites can also be found in tight-knit communities in at least can also be found in tight-knit communities in at least can also be found in tight-knit communities in at least can also be found in tight-knit communities in at least can also be found in tight-knit communities in at least can also be found in tight-knit communities in at least can also be found in tight-knit communities in at least can also be found in tight-knit communities in at least
",7.4,4.6
"Naas is a major "" Dublin Suburb "" town , with many people living in Naas and working in Dublin .
","Naas is a major announces Dublin Suburb Gomez town , with many people living in Naas and working in Dublin .
",8.2,5.8
"Origin Irmo was chartered on Christmas Eve in 1890 in response to the opening of the Columbia , Newberry and Laurens Railroad .
","independence Irmo was chartered on Christmas Eve in 1890 in response to the opening of the Columbia , Newberry and Laurens Railroad .
",9.2,6.4
"In the years before his final release in 1474 , when he began preparations for the reconquest of Wallachia , Vlad resided with his new wife in a house in the Hungarian capital .
","In the years before his final release in Lima , when he began preparations for the reconquest of Wallachia , Vlad resided with his house in the Hungarian capital .
",9.0,6.6
"You may add a passage of up to five words as a Front-Cover Text , and a passage of up to 25 words as a Back-Cover Text , to the end of the list of Cover Texts in the Modified Version .
","You may add a passage of up to five words as a Front-Cover Text , and a passage of the list of Uttar Texts in the end of the list of Cream Texts in the end of the list of Cream Texts in the end of the list of Cream Texts in the end of the list of Cream Texts in the end of the list of Cream Texts in the end of the list of Cream Texts in the end of the list of Cream Texts in the end of the list of Cream Texts in the end of
",4.2,2.4
"Bone marrow is the flexible tissue found in the hollow interior of bones .
","Bone .5 is the flexible tissue found in the hollow interior of bones .
",7.4,5.2
"Reflection nebulae are usually blue because the scattering is more efficient for blue light than red ( this is the same scattering process that gives us blue skies and red sunsets ) .
","Reflection nebulae are usually blue because the scattering is more efficient for blue light than red ( this is the same scattering process that gives us blue skies .
",8.2,8.4
"Monteux is a commune of the Vaucluse département in southern France , in the area Provence-Alpes-Côte d 'Azur .
","Siarnaq is a commune of the Vaucluse département in southern France , in the area Provence-Alpes-Côte d 'Azur .
",8.8,6.6
"MacGruber starts asking for simple objects to make something to defuse the bomb , but he is later distracted by something ( usually involving his personal life ) that makes him run out of time .
","MacGruber starts asking for simple objects to make something to defuse the bomb , but he is later distracted by something ( usually involving his personal .
",6.4,5.2
"Shi 'a Muslims consider Karbala to be one of their holiest cities after Mecca , Medina , Jerusalem and Najaf .
","Shi bakers Muslims consider Karbala to be one of their holiest cities after Mecca , Medina , Jerusalem and Lübz .
",7.8,4.8
"Britpop emerged from the British independent music scene of the early 1990s and was characterised by bands influenced by British guitar pop music of the 1960s and 1970s .
","Britpop emerged from the British independent music scene of the early 1990s and was dorsal by bands influenced by British guitar pop music of the 1960s and 1970s .
",8.6,5.2
"Eugowra is said to be named after the Indigenous Australian word meaning "" The place where the sand washes down the hill "" .
","Eugowra is said to be named after the Indigenous Australian word meaning high-pitched The place where the sand washes down the hill misses .
",6.4,4.8
"Terms such as "" undies "" for underwear and "" movie "" for "" moving picture "" are oft-heard terms in English .
","Aesthetics such as please undies Privy for underwear and Filli movie whenever for Selective moving picture "" are oft-heard terms in English .
",5.4,2.4
"Jurisdiction draws its substance from public international law , conflict of laws , constitutional law and the powers of the executive and legislative branches of government to allocate resources to best serve the needs of its native society .
","Jurisdiction draws its substance from public international law , conflict of laws , constitutional law and needs of its native society .
",9.2,6.0
"He followed this with several other pieces about Hiawatha : The Death of Minnehaha , Overture to The Song of Hiawatha and Hiawatha 's Departure .
","He followed this with several other pieces about 5,300 : The Death of Minnehaha , Overture to The Song of Carpentaria and Cowdenbeath 's Departure .
",6.6,4.8
"The capital of the state is Aracaju ( pop .
","The capital of the state is 43,643 ( pop .
",6.2,4.0
"The lawyer , Brandon ( Waise Lee ) , became his idol , and MK Sun grew up to be a lawyer .
","The lawyer , NY ( Waise Lee ) , became his idol , and Sandy Sun grew up to be a lawyer .
",9.0,5.8
"ISBN 1-876429-14-3 is an historic township located near Cowra in the central west of New South Wales , Australia in Cabonne Shire .
","Powell 1-876429-14-3 is an historic township located near Cowra in the central west of New South Wales , Australia in Cabonne Shire .
",9.6,6.2
"Military career Donaldson enlisted in the Australian Army on 18 June 2002 .
","Military career 183.23 enlisted in the Australian Army on 18 June 2002 .
",8.4,5.4
"Before the advent of the pocket calculator , it was the most commonly used calculation tool in science and engineering .
","Before the advent of the pocket impression , it was the most commonly used calculation tool in science and engineering .
",8.8,6.4
"The Kindle 2 features 16-level grayscale display , improved battery life , 20 percent faster page-refreshing , a text-to-speech option to read the text aloud , and overall thickness reduced from 0.8 to 0.36 inches ( 9.1 millimeters ) .
","The Kindle 2 features 16-level grayscale display , improved battery life , 20 percent faster page-refreshing , a text-to-speech option to read the text aloud .
",9.2,7.0
"Yoghurt or yogurt is a dairy product produced by bacterial fermentation of milk .
","Yoghurt or shale is a dairy product produced by bacterial breathing of milk .
",9.0,5.0
"In late 2004 , Suleman made headlines by cutting Howard Stern 's radio show from four Citadel stations , citing Stern 's frequent discussions regarding his upcoming move to Sirius Satellite Radio .
","In late 2004 , Suleman made headlines by cutting Howard Stern 's radio show from four Citadel stations , Beyoncé telephones Radio .
",8.6,5.0
"The company opened twice as many Canadian outlets as McDonald 's "" Wendy 's confirms Tim Hortons IPO by March "" , Ottawa Business Journal , December 1 , 2005 ,  and system-wide sales also surpassed those of McDonald 's Canadian operations as of 2002 .
","The company opened twice as many Canadian outlets as McDonald 's Songbook Lizzy 's Baseball Tim as of December 1 , 2005 , Canadian operations as of 2002 of McDonald 's Canadian operations as of 2002 .
",7.0,4.0
"Plot Captain Caleb Holt ( Kirk Cameron ) is a firefighter in Albany , Georgia and firmly keeps the cardinal rule of all firemen , "" Never leave your partner behind "" .
","Richland Captain Renee Holt ( KBO Cameron ) is a firefighter in Albany , Georgia and firmly keeps the cardinal rule of all firemen , else Never leave your partner behind somebody .
",7.6,4.0
"Offenbach 's numerous operettas , such as Orpheus in the Underworld , and La belle Hélène , were extremely popular in both France and the English-speaking world during the 1850s and 1860s .
","Narvaez 's numerous monotremes , such as Orpheus in the Underworld , and La belle Puccini , were extremely popular in both France and 1860s .
",8.8,4.2
"Jeanne Marie-Madeleine Demessieux ( February 13 , 1921 November 11 , 1968 ) , was a French organist , pianist , composer , and pedagogue .
","Cory Marie-Madeleine Demessieux ( February 13 , 1921 November 11 , 1968 ) , was a French organist , pianist , composer , and pedagogue .
",8.6,7.8
"Santa Maria Maggiore ( St. Mary the Greater ) , the earliest extant church in Assisi .
","Santa Maria O'Carroll ( St. Mary the Greater ) , the earliest extant church in Assisi .
",9.0,7.2
"Characteristics Radar observations indicate a fairly pure iron-nickel composition .
","Es Radar observations indicate a fairly pure iron-nickel composition .
",8.6,6.0
"Railway Gazette International is a monthly business journal covering the railway , metro , light rail and tram industries worldwide .
","Railway X8 International is a monthly business journal covering the railway , metro , light rail and tram industries worldwide .
",9.4,7.0
"He was appointed Companion of Honour ( CH ) in 1988 .
","He was appointed Companion of Honour ( believed ) in 1988 .
",8.6,6.8
"A matchbook is a small cardboard folder ( matchcover ) enclosing a quantity of matches and having a coarse striking surface on the exterior .
","A matchbook is a small cardboard folder ( matchcover ) empties a quantity of matches and having a cake striking surface on the exterior .
",8.8,4.4
"Defiantly , she vowed to never renounce the Commune , and dared the judges to sentence her to death .
","Defiantly , she vowed to never renounce the Commune , and Azula the judges to sentence her to death .
",8.8,5.4
"OEL manga series Graystripe 's Trilogy There is a three volume original English-language manga series following Graystripe , between the time that he was taken by Twolegs in Dawn until he returned to ThunderClan in The Sight .
","OEL manga series Gerolsteiner 's Clockwork There is a three volume original Curb manga series following Ponta , between the time that he was taken by Twolegs in Dawn until he returned to ThunderClan in The Samaritan .
",7.6,4.6
"Samovar & Porter ( 1994 ) , p . 84 Syrians did not congregate in urban enclaves ; many of the immigrants who had worked as peddlers were able to interact with Americans on a daily basis .
","Samovar & Porter ( 1994 ) , p .
",4.6,2.0
"During childhood she suffered from collapsed lungs twice , she had pneumonia 4-5 times a year , a ruptured appendix , and had a tonsillar cyst .
","During childhood she suffered from collapsed lungs twice , she had pneumonia 1769 times a year , a ruptured veal , and had a tonsillar cyst .
",9.2,4.2
"Dr. David Lindenmeyer ( Australian National University ) has argued that the need for nest boxes indicates that logging practices are not ecologically sustainable , for conserving hollow-dependent species like Leadbeater 's possum .
","Dr. David Lindenmeyer ( Australian National University ) has argued that the need for nest boxes indicates that logging practices are not ecologically sustainable that logging practices are not ecologically sustainable that logging practices are not ecologically sustainable that logging practices are not ecologically sustainable that logging practices are not ecologically sustainable that logging practices are not ecologically sustainable that logging practices are not ecologically sustainable that logging practices are not ecologically sustainable that logging practices are not ecologically sustainable that logging practices are not ecologically sustainable that logging practices are not ecologically sustainable that logging practices are not ecologically
",6.8,4.4
"The Montreal Canadiens  are a professional ice hockey team based in Montreal , Quebec , Canada .
","The Montreal Canadiens are a professional ice hockey team based in Montreal , Quebec , Canada .
",9.4,10.0
"Small value inductors can also be built on integrated circuits using the same processes that are used to make transistors .
","Small value inductors can also be built on engineering circuits using the same processes that are used to make transistors .
",9.4,7.4
"Thereafter the county 's administration was conducted at Duns or Lauder until Greenlaw became the county town in 1596 .
","Thereafter the county 's administration was conducted at Duns or 1028 until Greenlaw became the county town in 1596 .
",8.6,5.8
"No skater has yet accomplished a quadruple Axel in competition .
","No skater has yet accomplished a policemen Laubach in competition .
",9.0,4.2
"From the telephone exchange , the Port Jackson District Commandant could communicate with all military installations on the harbour .
","From the telephone exchange , the Port Jackson District Beaverton could communicate with all military installations on the harbour .
",8.8,7.4
"However , even to those who enter the prayer hall of a mosque without the intention of praying , there are still rules that apply .
","However , even to those who enter the prayer hall of a mosque without the opponent of praying , there are still rules that apply .
",9.4,7.6
"Some of the largest reservoirs in the world can be found along the Volga .
","Some of the largest reservoirs in the world can be found along the S.S. .
",9.4,6.2
"Human skin hues can range from very dark brown to very pale pink .
","Human skin gray-brown can range from very dark brown to very pale pink .
",8.4,5.0
"Bankers from ShoreBank , a community development bank in Chicago , helped Yunus with the official incorporation of the bank under a grant from the Ford Foundation .
","Bankers from ShoreBank , a community development bank in Chicago , helped Yunus with the official incorporation of the bank under a grant from the Ford incorporation of the bank under a grant from the Ford incorporation of the bank under a grant from the Ford incorporation of the bank under a grant from the Ford incorporation of the bank under a grant from the Ford incorporation of the bank under a grant from the Ford incorporation of the bank under a grant from the Ford incorporation of the bank under a grant from the Ford incorporation of the bank
",7.0,5.0
,,7.140298507462688,4.644776119402984
